NOM	CODE_COM	POP_TOT	POP_MAS	POP_FEM
FROMELLES	59257	861	433	428
GENECH	59258	2605	1405	1200
GHISSIGNIES	59259	483	239	244
GHYVELDE	59260	3266	1604	1662
GLAGEON	59261	1833	897	936
GODEWAERSVELDE	59262	2026	1055	971
GOEULZIN	59263	1057	501	556
GOGNIES-CHAUSSEE	59264	789	384	405
GOMMEGNIES	59265	2265	1121	1144
GONDECOURT	59266	3967	1945	2022
GONNELIEU	59267	329	154	175
GOUZEAUCOURT	59269	1432	730	702
GRAND-FAYT	59270	515	252	263
GRAND-FORT-PHILIPPE	59272	5434	2614	2820
GRANDE-SYNTHE	59271	20991	10292	10699
GRAVELINES	59273	11516	5619	5897
GRUSON	59275	1145	560	585
GUESNAIN	59276	4660	2141	2519
GUSSIGNIES	59277	350	184	166
HALLENNES-LEZ-HAUBOURDIN	59278	3997	1932	2065
HALLUIN	59279	20199	9930	10269
HAMEL	59280	780	384	396
HANTAY	59281	1046	510	536
HARDIFORT	59282	382	195	187
HARGNIES	59283	583	307	276
HASNON	59284	3721	1816	1905
HASPRES	59285	2800	1386	1414
HAUBOURDIN	59286	14455	6785	7670
HAUCOURT-EN-CAMBRESIS	59287	209	104	105
HAULCHIN	59288	2371	1150	1221
HAUSSY	59289	1550	787	763
HAUT-LIEU	59290	389	191	198
HAUTMONT	59291	14239	6764	7475
HAVELUY	59292	3088	1499	1589
HAVERSKERQUE	59293	1472	730	742
HAYNECOURT	59294	594	393	201
HAZEBROUCK	59295	21598	10593	11005
HECQ	59296	353	179	174
HELESMES	59297	1942	955	987
HEM	59299	17369	8376	8993
HEM-LENGLET	59300	580	297	283
HERGNIES	59301	4276	2130	2146
HERIN	59302	3840	1853	1987
HERLIES	59303	2147	1027	1120
HERRIN	59304	403	194	209
HERZEELE	59305	1518	763	755
HESTRUD	59306	291	151	140
HOLQUE	59307	935	464	471
HON-HERGIES	59310	830	432	398
HONDEGHEM	59308	931	454	477
HONDSCHOOTE	59309	4106	1985	2121
HONNECHY	59311	528	258	270
HONNECOURT-SUR-ESCAUT	59312	743	362	381
HORDAIN	59313	1472	690	782
HORNAING	59314	3426	1663	1763
HOUDAIN-LEZ-BAVAY	59315	868	441	427
HOUPLIN-ANCOISNE	59316	3431	1682	1749
HOUPLINES	59317	7611	3630	3981
HOUTKERQUE	59318	991	513	478
HOYMILLE	59319	3192	1543	1649
ILLIES	59320	1419	688	731
INCHY	59321	729	357	372
IWUY	59322	3200	1584	1616
JENLAIN	59323	1054	513	541
JEUMONT	59324	9772	4668	5104
JOLIMETZ	59325	890	449	441
KILLEM	59326	964	492	472
LA BASSEE	59051	6235	2957	3278
LA CHAPELLE-D'ARMENTIERES	59143	8259	3935	4324
LA FLAMENGRIE	59232	423	228	195
LA GORGUE	59268	5956	2915	3041
LA GROISE	59274	469	235	235
LA LONGUEVILLE	59357	2181	1074	1107
LA MADELEINE	59368	22442	10415	12027
LA NEUVILLE	59427	680	339	341
LA SENTINELLE	59564	3322	1666	1656
LALLAING	59327	6525	3091	3434
LAMBERSART	59328	28504	13372	15132
LAMBRES-LEZ-DOUAI	59329	5092	2424	2668
LANDAS	59330	2377	1159	1218
LANDRECIES	59331	3581	1708	1873
LANNOY	59332	1718	752	966
LAROUILLIES	59333	271	133	138
LAUWIN-PLANQUE	59334	1806	896	910
LE CATEAU-CAMBRESIS	59136	7039	3382	3657
LE DOULIEU	59180	1402	707	695
LE FAVRIL	59223	481	234	247
LE MAISNIL	59371	609	303	306
LE QUESNOY	59481	4994	2296	2698
LECELLES	59335	2653	1317	1336
LECLUSE	59336	1442	712	730
LEDERZEELE	59337	592	309	283
LEDRINGHEM	59338	673	348	325
LEERS	59339	2576	1200	1376
LEERS	59339	3820	1873	1947
LEERS	59339	2890	1387	1503
LEFFRINCKOUCKE	59340	4482	2179	2303
LES MOËRES	59404	808	385	423
LES RUES-DES-VIGNES	59517	697	332	365
LESDAIN	59341	408	198	210
LESQUIN	59343	6394	3080	3314
LEVAL	59344	2326	1130	1196
LEWARDE	59345	2739	1327	1412
LEZ-FONTAINE	59342	215	107	108
LEZENNES	59346	3064	1451	1613
LIESSIES	59347	556	284	272
LIEU-SAINT-AMAND	59348	1260	614	646
LIGNY-EN-CAMBRESIS	59349	1787	871	916
LILLE	59350	227560	108257	119303
LIMONT-FONTAINE	59351	575	285	290
LINSELLES	59352	8257	3918	4339
LOCQUIGNOL	59353	346	180	166
LOFFRE	59354	755	374	381
